animal_id,day,trial_in_day,choice,state_win,state_random,state_go
170614cage3 2A,4,3,1,0.7559982619166578,0.22539607428866135,0.018605663794680892
170614cage3 2A,4,4,0,0.11100494618229237,0.4668119012139116,0.4221831526037961
170614cage3 2A,4,5,0,0.10611419253062075,0.3763199040264241,0.5175659034429552
170614cage3 2A,4,6,1,0.8532694531192387,0.14322180692788858,0.0035087399528725993
170614cage3 2A,4,7,0,0.02981793545786567,0.19519737628835893,0.7749846882537754
170614cage3 2A,4,8,1,0.834400267900469,0.15512717894203557,0.010472553157495427
170614cage3 2A,4,9,1,0.7528848731708457,0.22658767675161925,0.020527450077534985
170614cage3 2A,4,10,0,0.11149933974525564,0.4673224850233833,0.421178175231361
170614cage3 2A,4,11,0,0.10594118659451025,0.37604781473715587,0.5180109986683339
170614cage3 2A,4,12,1,0.8533282193549679,0.14316614465236438,0.003505635992667731
170614cage3 2A,4,13,0,0.029818016118374317,0.1951870492706566,0.774994934610969
170614cage3 2A,4,14,1,0.8344166139719941,0.1550984402866856,0.010484945741320324
170614cage3 2A,4,15,1,0.7543592748109077,0.22544465623665857,0.0201960689524337
170614cage3 2A,4,16,0,0.1082987288123135,0.46119800451222026,0.43050326667546623
170614cage3 2A,4,17,0,0.11163703973554295,0.394329487818464,0.49403347244599305
170614cage3 2A,4,18,1,0.7791032939786767,0.19928185274750418,0.02161485327381914
170614cage3 2A,4,19,1,0.807582020159207,0.18293946678791007,0.009478513052882862
170614cage3 2A,4,20,0,0.03127861329027116,0.2029878200080304,0.7657335667016985
170614cage3 2A,4,21,1,0.8346193448842432,0.1551514170339985,0.010229238081758373
170614cage3 2A,4,22,1,0.7014940548720294,0.24076007289383733,0.05774587223413323
170614cage3 2A,4,23,1,0.8123682140794357,0.17914150857857133,0.008490277341992857
170614cage3 2A,4,24,0,0.028920611484935257,0.18836660766700897,0.7827127808480558
170614cage3 2A,4,25,1,0.8909413127068495,0.10736386370547002,0.001694823587680343
170614cage3 2A,4,26,0,0.026893876973850005,0.1754549599127465,0.7976511631134036
170614cage3 2A,4,27,1,0.8915753525230397,0.10673557019809457,0.0016890772788656966
170614cage3 2A,4,28,0,0.02893679675547365,0.18825994632830617,0.7828032569162202
170614cage3 2A,4,29,1,0.8378397372452298,0.1524206407758607,0.009739621978909523
170614cage3 2A,4,30,1,0.7038371270592295,0.2413029689178317,0.05485990402293874
170614cage3 2A,4,31,1,0.7505678315560415,0.21771618630399966,0.03171598213995889
